id;firstname;lastname;p1
4811;Thomas;Baselitz;49
12078;Meyer;Tschirtner;49
8458;Elger;Jones;59
3344;Jananne;Michals;54
14285;Karl;Kowalski;28
6968;Hermann;Gerz;64
13970;Andreas;Raynaud;27
7659;Meyer;Romberg;56
13927;Jakob Lena;Tobey;36
8785;Manfred;Huemer;89
11902;George;Rietveld;45
12559;Wolfgang;Furuya;16
9358;Osvaldo;Evans;79
2234;Franz;Eder;45
7930;Jürgen;K.U.SCH;51
10438;Bernhard Johannes;Hendrich-Hassmann;42
14804;Werner;Zünd-Up;28
10947;Christian;Noland;65
1933;Ed;Serra;41
9356;Günther;Hauser;39
6587;Louise;Hollegha;18
6389;Markus;Stenvert;16
8628;Tamás;Müller;99
9872;Jürgen;Roth;68
8588;Ben;Paschke;15
6474;Bernard;Nitsch;19
1636;Tomas;Rosler;8
3204;Neil;Kogler;71
4568;Anne;Gerz;21
1597;Renate;Graubner;17
4110;August;Lassnig;40
2306;Gil J.;Flynt;84
11742;Hans;Opie;56
3964;Kari;Flynt;78
10346;Hermann;Fautrier;17
3988;R.H.;Leitner;22
4151;Georgia;Shiomi;78
14728;Gladys;Kerbelij;6
4938;Marco;Holdsworth;91
8502;Klaus;Schapiro;49
9903;Kristian;Stimm;93
14897;Inge;Hopf;25
8507;Tobias;Biedermann;72
8169;Walter;Fruhmann;74
8686;Sharon;Bauer;39
6836;Thomas;Dertnig;52
9835;Friedensreich;Wardill;4
447;Markus;Lassnig;92
9268;Gina;Eliasson;75
3714;Stefan;Vogt;77
7397;Miroslaw;Kunzmann;17
14809;Friedl;Brodwolf;6
11732;Lothar;Marchand;51
3832;Thomas;Sasse;8
10976;Herbert;Plensa;83
2271;Rudolf;Gasteiger;59
11037;Renate;Zehrer;19
3112;Frantisek;Scheidl;23
13439;Ken;Fraser;9
4972;Wolf;Turk;71
7120;Oleg;Soulages;42
7586;George;Boeckl;23
4208;Stephan;Bellmer;33
7465;Ferdinand;Blair;24
2551;James;Oehlen;85
4697;Peter;Kopystiansky;97
10956;Liesl;Kern;3
9509;Merce;Itten-Schule;2
13336;Franz;Welling;24
6177;Margherita;Roth;96
12001;Bele;Poli;91
13283;David;Ganahl;36
730;Uriel;Lam;94
5554;Amintore;Tyshler;10
9789;Bruno;Kapusta;21
14252;Joerg;Matta-Clark;63
14705;Yayoi;Bertlmann;17
2190;Tracey;Indiana;48
2077;Jürgen;Schmalix;30
1138;Suzan;Locher;30
13487;Kurt;Campbell;18
6596;Thomas;Constant;93
12573;David;Aslan;40
150;Giuseppe;Hörtner;95
1590;Klemens;Younan;6
14033;Roger;Lindner;9
6143;Gerhard;Ensor;62
9300;Christine;Scordia;49
6636;Anne;Büro Karl Schwanzer;15
7253;Tomasz;Chia;65
2906;John;Appelt;86
9392;Kimber;Ruff;61
3335;Vilém;Bianchi;36
2902;Bernhard;Oppenheimer;97
7829;Lajos;Ay-O;78
11617;Friedrich;Plöger;39
14073;John;Schlemmer;10
14614;Ger;Scordia;85
482;Josef;Armitage;93
11349;Wolfgang;Glückman;96
7200;Hans;Hebenstreit;53
4351;Pol;Oman;95
10727;Fred;Burden;53
12936;Jim;Fontana;38
3899;Roberto;Cibulka;59
5648;Charlotte;Komar;14
1604;Florian;Lewitt;41
13634;Don;Reindeer Werk;82
11660;Jiří;Gondeln;24
354;Don;Skerbisch;83
10853;Nina;Matta-Clark;87
301;Berthold;Moholy-Nagy;83
3453;Christine;Wirsum;67
3667;Henri;Lockhart;42
12371;Dike;Kelemen;15
1381;Imi;Lachowicz;91
10444;Marge;Katz;7
706;Anton;Paolini;49
10132;Cosima;Ondak;39
14692;Brad;Hölzel;60
221;Sam;Caminiti;35
10492;Hannah;Ernst;68
13703;János;Jungwirth;14
3319;Hannsjörg;Hockney;84
4176;Christiane;Ozenfant;7
371;Hans (Jean);Jankowski;7
4685;H. D.;Raynaud;15
1699;Bernard;Deyle;29
7015;Jud;Esengeldyew;31
14246;Erika Giovanna;Sonnier;4
2442;Vittorio di;Fautrier;32
11735;Dieter;Walla;60
8477;Lowell;Maurer;70
7258;Oskar;Masereel;27
2394;Robert;Prouvost;23
9517;Marcel;Smith;61
12084;Philipp;Loeb;24
11325;Stefan;Green;36
3083;Daniel;Burden;25
4919;Alexander Michailowitsch;Saint Phalle;40
11640;André;Meier-Schomburg;82
5621;Michel;Panamarenko;20
2649;Clay;Cesarco;5
530;Jud;Guerrini;7
2421;Lawrence;Paschke;2
5304;Ferdinand;Denny;47
6651;Allan;Hofschen;79
8651;Martha;Brüning;29
5533;Wassily;Pfeifer;12
14792;Franz;Walther;81
3272;Vance;Schneemann;26
12547;Fernando;Fleischmann;72
2358;Cédric;Mitchell;47
13926;Judy;Scordia;50
8262;Leidy;Odenbach;34
12851;Giacomo;Giacometti;22
9824;Lee;MacConnel;63
2778;Meina;Jürgenssen;36
149;Manfred;Tübke;24
13874;Izhar;Vetter;6
6160;Wifredo;Levin;98
6874;Merce;Majakowski;50
3572;Nancy;Plensa;62
3149;Constantin;Engsted;77
2671;Louise;Philipp;9
11253;Klaus;Schuyff;6
13535;Hermann;Hartung;59
3577;Hugo;Deutsch;50
11470;Heinz;Bizumic;40
10384;Douglas;Fagerlund;90
6524;Julia;Williams;92
3143;Roberto;Tüchert;9
9137;Werner;Bischoffshausen;57
14865;Friedl;Bernhard;92
10027;Martin;Novák;20
5306;Mike;Kitaj;20
14903;Jean;Bitran;78
790;Andrea;Haacke;34
9659;Uli;Lanigan-Schmidt;67
4549;Fareed;Erben;11
4289;Markus;David;10
12150;Helen;Scheibl;3
9004;Günther;Fehér;45
12633;Oskar E.;Knizák;16
11614;Joseph;Prouvost;82
2020;József;Alechinsky;3
1751;Svetlin;Ensor;36
8113;Martin;Lüscher;98
9499;Thomas;Cytter;61
12832;Kurt;Olitski;71
7514;Olafur;Beck;43
2738;Erwin;Miao;18
733;Jean-Michel;Spring;4
3492;Marjetica;Belling;75
3472;François;Sarkisian;90
14342;Robert;Ozenfant;95
13547;Enrico;Picabia;27
3420;Franz;Zitko;31
10393;Marina;Pollock;41
14663;Peter;Potrč;86
10566;Daniel;Schonzeit;14
14274;Hans;Tschirtner;20
13253;Robert;von Bonin;59
4579;Martin;Tardos;37
5346;Nora;Graubner;95
5008;Robert R.;Fast;19
3615;Laurids;Reiter Raabe;23
673;Louis;Peacock;20
11638;Marcel;Sengl;90
11291;Nora;Grosz;1
6899;Alicja;Rietveld;39
7835;Josef;Oehlen;48
2809;Lajos;Fleischmann;83
9514;Helen;Pane;62
3345;Béla;Ursula;62
146;Hannah;Hahnenkamp;17
4225;Zdeněk;Dorazio;22
9630;Sepp;Kopf;7
3095;Ingeborg;Jonas;67
11707;Carola;César;43
1900;Dan;Ostoitsch;51
5645;Oswald;Kren;53
1601;Sandro;Kudo;33
13928;Roger;Weber;77
6278;Georg;Davie;15
7491;Tobias;Bottoli;95
9503;Markus;Serrano;88
5045;Adi;Buonajuti;17
3596;Rochelle;Esser;48
13980;Angelika;Davies;90
12530;Eduard;Streuli;67
5924;Alfred;Selichar;1
5334;Nora;Reismayer-Fritsche;79
1678;Roman;Kaufmann;31
9147;Jeff;Klintberg;92
7358;Georgia;Doujak;58
8015;Amintore;Antes;11
13003;Mel;Elmgreen & Dragset;45
5166;Irene;Disler;12
1154;Isolde Maria;Koller;14
2690;George;Oberhuber;51
13006;Al;Mangold;41
10798;Stephan;Videx;64
13238;Richard Paul;Fox;51
11557;Leo;Fleischmann;4
8433;Walter;Lüthi;76
4066;Friedl;Zimpel;90
7648;Hannah;Poliakoff;69
13882;Jean;Part;64
5504;Willi;Lewitt;2
5767;Carl;Tyshler;2
12571;Reiner;Barry;50
11998;Mark;Gilbert & George;3
13272;Walter;Wyckaert;40
3065;Dan;Pauer;17
5139;Peter;Carroll;38
6158;Jörg;Maciunas;48
2056;Feri;Stimm;53
2023;Judy;Frank;72
3699;Tom;Joham;65
8917;Tobias;Wirsum;38
13242;Johannes;Kampmann;12
7156;Franz;Saint Phalle;37
2768;Markus;Pongracz;79
5320;Friedrich;Smith;39
6949;Anne;Knifer;11
741;Liesl;Ohnsorg;29
7828;Feri;Yalkut;11
8170;Rebecca;Rainer;79
9971;Wolfgang;Mosettig;74
13435;S. J.;Dietrich;17
2568;Juan;Reed;42
12232;John;Larionov;90
10889;Bernd;Young;75
13508;Germaine;Arnold;87
9748;Markus;Wakolbinger;17
11516;Wolfgang;Ay-O;75
5581;Renée;Christoforou;30
9301;Helmut;Reinhold;39
14626;Willi;Schapiro;73
8444;Norbert;Fleischmann;21
12499;Cécile B.;Pilz;51
1061;Manfred;Bauer;94
13799;Plamen;Skrička;80
14213;Tamás;Toraldo di Francia;11
13978;Lenka;Tatafiore;29
10309;Ferdinand;Snow;27
427;Andreas;Watzl;57
13073;Christian;Zuckermann;20
2897;Antoni;Lawrowa;94
7172;Fernand;Klinkan;89
13224;Paul;Potter;20
8791;Rashid;Smith;24
10391;Daniel;Havlíček;14
10428;Ross;Mitchell;22
5632;Johann;Gelguda;30
7997;Hans;Ingerl;41
2935;Jean;Tinguely;7
10659;Robin;Ohnsorg;76
8679;Ingeborg;Andre;41
13579;Massimo;Rosso;18
12881;John;Sýkora;97
9674;Herbert;Gnoli;37
13996;Paloma;Islam;16
3924;Rainer;Toraldo di Francia;64
9945;Rimma;Campbell;71
3106;Werner;Elmgreen & Dragset;30
10064;Franz;Macció;93
13106;Erich Franz;Kokoschka;43
3541;Georg;Toraldo di Francia;26
11233;Mikael;Dunst;38
5326;Peter;Kaprow;54
4265;Octavian;Schinwald;85
4278;Claudia;Creimer;40
6141;Markus;Mekas;54
11736;Art;Rippl-Rónai;61
14781;José;Raab;3
10229;Ines;Wiener;38
10297;Markus;Hughes;18
829;Elfriede;Weder;78
115;Florian;Kelp;8
7256;Wolfgang;Tinguely;16
3734;Inés;Navares;84
1019;Kiki;Bechtold;54
10738;Jürgen;Cesarco;43
12508;Luis R.;Knizák;10
11606;John;Hlavina;86
126;Arik;K.U.SCH;24
13153;Hans;Dlugos;31
3609;Gloria;Wotruba;44
3784;Renée;Wang;34
13736;Maurice;Kubelka;87
9608;Ernst;Haug;3
1935;Llyn;Kriesche;40
7584;Jean;Denny;14
9920;Édouard;Dorazio;46
64;Frank;Hauer;60
4030;Giulio;Meissner;13
8001;Alfons;Hucleux;8
11299;Pello;Hrdlicka;68
12684;Imre;Baker;68
12043;Guido;Graves;58
7998;Kara;Oman;46
974;Wolfgang;Mlcoch;60
758;Manon-Liu;Hoffmann;13
10398;Karel;Graf;21
7091;Stefan;Taeuber-Arp;72
2131;Rudolf;Morley;17
1543;Frank;Abramovic;60
10113;Antoine;Grubinger;96
8999;Eric;Schmatz;26
7687;Ned;Kolíbal;20
13715;Jörg;Gelguda;77
1615;Tony;Wolf;55
2272;Julio;Cabrita;53
2250;Ruedi;Sýkorova;14
5587;Markus;Ash;67
9481;Miloslav;Frize;32
7851;Edmund;Feuerstein;72
3210;Valentin;Jawlensky;12
10054;Franz;Mc Caslin;80
14327;Horace Clifford;Merz;46
7369;Monika;Gander;70
9939;Giuseppe;Köthe;39
3025;Domenico;Mattheuer;25
1380;Dóra;Kraijer;22
12701;Sergio de;Drach;43
2066;Herbert;Henson;25
4304;Jessica;Gütersloh;24
4839;Terry;Duchamp;34
9240;Michaela;Vercruysse;68
10096;Ray;Westermann;4
5687;Ellsworth;Pevsner;56
10317;Julian;Wittenborn;47
14263;Roberto Sebastian;Persiani;29
8977;Gottfried;von Bonin;36
11621;Hannah;Kern;38
1157;Judith;Prager;21
2635;Carla;Kesting;1
3367;Edward;Janschka;93
13802;Ernst;Warlamis;61
3325;Flutura;Trenkwalder;31
9715;Pierre;Ulay;11
13082;Lotte;Wilke;41
3902;Erich;Riley;81
4575;Thomas;Schnell;96
443;Michael;Magritte;90
6533;Joseph;Walde;16
14579;Wolfgang;Hoffmann;73
236;Eloise;Uth;73
6518;Karl;Tischer;30
3679;Friedericke (Fritzi);Nørgaard;20
1326;Manfred;Komar;26
10960;Emil;Mac Low;49
7482;Kari;Stanzel;88
5978;Vivan;Cunningham;88
1463;Hans;Đukić;63
11215;Nobuyoshi;Knifer;88
12116;Wifredo;Knifer;68
10308;Kurt;Kölbl;50
8736;Ines;Colbertaldo;45
11217;Brad;Ulay;77
10227;Kurt;Delvaux;89
13915;Igor;Dupuy;40
10648;Lucio;Sarkisian;61
7909;Dieter;Mosettig;63
6499;Burhan;Klinkan;3
7288;Ray;Schmidt;5
4308;Peter;Heizer;9
214;Ernst;Obholzer;37
5448;Jud;Bacon;60
3502;Sam;Demattio;44
3885;André;Sigma Gruppe;50
7943;Yudith;Wall;10
5843;Henrik;Frankenthaler;2
14967;Otto;Hutchins;29
10952;Piet;Stengel;13
4725;Ernst;Lixl;75
13680;Jim;Mondrian;12
10569;Klemens;Bellmer;40
12500;Andrea;Schreiter;71
324;Gerlinde;Peintner;3
5000;Mark;Jermolaewa;44
13683;Hans;Attersee;1
14559;Hans;Odenbach;47
14099;Terry;Colbertaldo;69
7655;Jakob Lena;Scheiber;7
12472;Nancy;Duchamp-Villon;25
13686;Hans;Kedl;8
13541;Asger;Weigand;44
2289;Walter;Potter;75
1789;Johannes;Dlugos;42
11808;Loretta;Denny;20
639;Rudolf;Voss;53
1481;Barry;Rosenblum;45
3424;Ingeborg;Weber;49
8111;Sam;Williams;35
2869;Frantisek;Navratil;66
392;Helen;Kelly;26
10642;Reis Pedro;Rotella;83
8541;Allan;Sekal;46
9452;Martin;Frank;92
6451;Milos;Bortnyik;78
3033;Ute;Hofer;47
3024;Jaume;Motherwell;45
6567;Piero;Krenek;13
12825;Rómulo;Miró;30
9297;Heinz;Stock;78
8228;José;Spencer;55
3623;Edelbert;Engsted;35
10220;Tomislav;Oppenheim;43
3557;George;Prelog;12
10872;Bele;Francis;29
9516;Evelyne;Navratil;53
4911;Heinz;Leve;3
8597;Hans;Ernst;69
11059;Herbert;Kolig;59
436;Sharon;Mikl;45
4362;Jutta;Gechtman;92
5025;Gerhard;Anatol;39
5995;Mieko;Hendrich-Hassmann;35
3989;Robert;Tüchert;70
1376;Josef;Jančić;62
11069;Alighiero;Scott;42
12804;Orshi;Reither;22
14197;Heinz-Günter;Laric;39
11144;Philippe;Joos;36
11730;Bernard;Kirkeby;28
1088;Bernard;Scheiber;14
11498;Jackson;Rink;63
6819;Edward;Lavier;79
6108;Larry;Weiler;78
7626;Vasko;Zehrer;31
1217;Germaine;Islam;5
898;Bernhard;Beckman;25
8812;Walter;Prinz;40
7228;Loretta;Leitner;66
8923;Magdalena;Baumeister;0
5566;Gerd;Schmidt;2
6429;Jakob Lena;Horn;95
2491;Besnik;Pakosta;52
14294;Lotte;Kirchberger;86
14613;Rudolf;Larson;5
3053;Peter;Komar;98
11655;Gérard;Magris;65
12999;Keith;Man Ray;9
13401;Ed;Winiarski;1
3432;Klaus;Litzenberger;80
6710;Andrea;Monory;5
7809;Loretta;Vautier;36
10094;Edward;Prinz;66
14060;Thomas;Botero;9
1557;Heinz;Renner;28
2484;Jaume;Ono;7
2256;Ugo;Haider;32
931;Kurt;Komet;61
13752;Robert;Brandl;58
2702;Reiner;Heinze;98
569;Dieter;Bonato;19
2424;Ingeborg;Jacobsen;76
5142;Karl Anton;Gerz;53
8301;Birgit;Gertsch;54
8292;Todd;Sandbichler;56
4086;Christian;Gromaire;63
12776;Oliver;Oppenheim;95
12784;Karel;Fuchs;74
12653;Peter;Klien;7
4757;Hans;Buonajuti;14
3647;Franz;Thiel;1
6166;Andrew;Goings;70
10874;Henry;Brown;38
2191;Guido;Ghazel;38
8746;Ali;Brusse;89
2392;Bruno;Kedl;98
2123;Andrea;Fox;4
570;Gian Piero;Walther;74
7853;Gerhard;Muehl;50
4410;Jim;Mies van der Rohe;91
7562;Isolde Maria;Haring;71
11864;Eric;Zadkine;64
12427;Hans;Mizrachi;9
5816;Yoshikuni;Frieberger;78
12964;Sam;Ozenfant;23
1165;Peter;Immendorff;17
2235;Paul;Stamos;62
7730;Adolf;Glauber;66
12355;Paul Albert;Gutmann;55
7681;Georg;Kaprow;52
8944;Peter;Hartley;68
1547;Karl;Zakanitch;5
2695;Karl Anton;Schrader;91
7952;Dimitrij;Self;65
3150;Bernd;Robaard;60
7029;Florian;Dessi;11
14301;Duane;Rühm;0
13302;Txomin;Romberg;1
9029;Bruno;Prouvost;77
9553;Hannsjörg;Higgins;4
10589;Meret;Korab;18
10382;Sabine;Göthe;57
2827;Bradut;Egerer;42
1979;Manfred;Hains;16
12214;Isolde Maria;Sell;24
3998;Nancy;Damisch;12
1373;Mikael;Deacon;13
14064;Izhar;Vogt;38
4168;Igor;Dicker-Brandeis;85
7340;Jean;Gantner;35
6095;Vito;Pakui Hardware;87
626;Oswald;Heger;5
6625;Gary;Fautrier;34
11396;Nan;Binder;34
11960;Walter;Ernst;45
7057;Stephen;Golz;25
4361;Marie-Jo;Lewitt;72
8041;Barna von;Russev;44
6783;Markus;Knizák;48
968;Giorgio;Kupka;89
14076;Jeff;Petrov-Gladky;13
2479;Giulio;Campendonk;52
5296;Franz;Löbbert;24
8241;Michail;Haring;13
14142;Karel;Wiener Gruppe;87
13619;Sandro;Ant Farm;95
1992;Jonas;Flois;43
5556;Vlasta;Pakui Hardware;9
11778;Hans (Jean);Reinhold;99
14567;Philipp;Jochims;8
13216;Hannah;Kolář;71
4790;Rudolf;Hutchins;96
5203;Theodoros;Costa;15
7382;David;Spiegel;2
11893;Siegrun;Gantner;97
14832;Antoni;Mitchell;68
9741;Paul;Sasse;17
11756;Flutura;Weston;95
2318;Öyvind;Riley;86
14442;Duane;Korab;70
13857;Carter;Ulay;87
3711;Thomas;McLean;97
5715;Jurij;Trockel;3
6102;Thomas;Warhol;75
8436;Albert;Ruzic;95
10414;Evelyne;Wardill;53
4820;Marzena;Patterson;98
14502;Candida;Kawara;96
4544;Frieder;Dick;86
356;Jessica;Graubner;75
1301;Friedrich;Scully;85
12070;Frank;Willmann;55
8379;Johannes;Baier;14
7977;Piero;Vostell;73
13246;Ernst;Aycock;72
6085;Jean;Dokoupil;18
1372;Tymon;Magris;24
12062;Oswald;Bulloch;8
6875;Constanze;Klossowski;42
3347;Friedl;Stock;82
14223;Peppino;Dietman;40
13982;Florian;Demattio;55
13532;Antonio;Patkin;38
5070;George;Schilling;17
5016;Hans;Moscouw;86
3962;Vito;Serpan;88
9128;Robert;Whiteley;40
13483;Edelbert;Werkner;24
11176;Joan;Wanner;35
2887;Kurt;Alexenberg;10
11608;Jean Pierre;Bouabdellah;31
12584;Jean Pierre;Schrader;56
11290;Robert;Yppen;29
5627;Reiner;Zogmayer;20
10933;James;Wada;30
1052;Ashley Hans;Young;7
11464;Jochen;Richard;68
7880;Paul;Foulkes;26
5307;Stefan;Close;46
13533;Konrad;Baer;86
2026;Marge;Weder;41
4912;Markus;Atkinson;99
11292;Richard;Armleder;65
10037;Oliver;Birkás;5
3107;Peter;Birnbaum;91
10937;Antonio;Kubin;4
2788;Ben;Drozdik;82
7446;Ottmar;Bernhard;50
912;Willi;Leitner;15
5726;Marcel;Prinz;97
6240;Rudolf;Fohn;11
13256;György;Trenkwalder;23
6667;René;Stengel;2
4093;Doru;Zehrer;81
10110;Renate;Abramovic;91
10547;Tomislav;Goings;51
1435;Andreas;Trawöger;95
13666;Alan;Jones;21
12218;Fritz;Baier;90
5796;Andreas;Lüthi;1
7483;David;Vukoje;42
14778;Georges;Kelemen;10
8625;Katya;Rakauskaité;80
10737;Sam;Graubner;84
4555;Elke;Baer;95
9981;Wolfgang;Montwé;95
4375;Thomas;Bianchi;56
7577;Antony;Wesselmann;14
615;Alicia;Morris;2
12425;Ernst;Blair;49
2619;Rudolf;Hendricks;98
6029;Heinz;Sirbiladze;37
4570;Hartwig;Dietman;97
5854;Valerie;Clemente;90
7259;John;Fautrier;6
4670;Amintore;Monory;85
6137;Laure;Krawagna;73
10529;Malcolm;Costi;88
3022;Willem;Schlichter;67
13763;Rochelle;Hager;70
4504;Verena;Rabinowitch;22
14242;Kurt;Thorn;26
9632;Robert;Absalon;23
914;Charlotte;Deyle;85
11335;Günther;Kogler;46
7076;László;Signer;88
12200;Roman;Artenjak;48
9944;Otto;Müller;53
13233;Oswald;Lieske;39
465;Franz;Strohmaier;21
329;Jun;Reindeer Werk;62
9821;Florian;Krenek;22
611;Anna-Sophie;Canell;11
12159;Malcolm;Bitran;5
209;Bernard;Böck;32
10277;Roy;Eckert;10
6365;Alain;Dietman;86
10069;Richard;Ernst;11
3166;Eduard;de Dominicis;72
921;Niki de;Pakosta;75
2102;Jananne;Böhm;92
11127;Paul;Müller;34
11232;Oleg;Anatol;17
12039;Silke;Friedmann;81
14974;Manfred;Le Gac;6
4526;Siegfried;Bottoli;27
11003;Christian;Petritsch;14
12700;Peter;Bak;77
5160;Marcus;Houf;84
6175;Zdeněk;Koller;50
10673;Trude;Bortnyik;25
7761;Heinrich;Hopf;90
8018;Josef;Biasi;24
3801;Alessandro;Burr;58
8849;Guillaume;Baumeister;86
10274;Michaela;Sarkis;0
14650;Stanley;Sengl;49
1700;Katarzyna;Kocherscheidt;80
10674;Arno;Sarkis;27
9490;Silvia;Wurth;6
9923;Ruppert;Ursula;69
5471;Ingeborg;Jones;39
12529;Anne;Wanke;7
3835;Joseph;Parmiggiani;97
202;Andrea;Binder;17
9418;Markus;Nicholson;17
10949;Ion;Gromaire;22
8891;Josef;Schmidt;18
14743;Pol;Schuster;54
3805;Gavin;Mosset;99
2567;Rudi;d'Arcangelo;17
7902;Johann;Klein;96
2157;Rudolf;Ruff;83
11731;Ryszard;Renger-Patzsch;65
7752;Artur;Göbel;95
13981;Allan;Gnoli;6
11555;Peter;Cuixart;68
1195;Irina;Tyshler;95
30;Nam June;Schlögl;64
3892;John;Ringel;30
7126;Franz;Richly;35
6492;Kim;Cumming;49
5162;Eva;Blume;57
220;Saskia;Erró;12
14761;Alphonse;Hartung;19
5777;Domenico;Talos;97
10399;Shigeko;Bayer;26
13944;Guido;Kaltenbach;3
8312;Burhan;Hucleux;77
748;Albert;Maurer;65
2428;Giuseppe;Schumacher;89
4906;Albert;Smith;99
9443;Josef;Löbbert;33
14835;Gerlinde;Pinczehelyi;69
27;Vito;Löbbert;52
1603;Lucio;Picasso;41
6862;Constantin;Bauer;28
5658;Jackson;Damisch;82
12400;Branko;Klein;32
14400;Saskia;Green;58
14605;Roberto;Kabas;36
4109;Oscar;Neurath;64
2687;Richard;Colombo;17
12186;Jessica;Schnabel;82
10852;Tymon;Muntean/Rosenblum;25
707;Christoph;Fogarasi;29
11896;Todd;Schlick;72
5449;Walter;Hill;74
8295;Artur;Chelkovski;97
4350;Johannes;Forbát;79
3650;Friedrich;Bury;44
14513;Artur;Morris;60
10329;Kenneth;Majakowski;50
14793;Paul;Whiteley;93
12839;Pascal;Cragg;28
8718;Nino;Poliakoff;31
9599;Jim;Black;6
5186;Koloman;Dupuy;59
1669;Jean;Sandbichler;84
5631;Willi;Schmidt;88
4629;Paul;Mattheuer;60
1966;Hermann;Uslé;28
3098;Gülsün;Pouget;62
12520;Ben;Reusse;64
7118;Peter;Cibulka;1
471;Wolf;Raynaud;45
10201;Jacques de la;Stötzer;86
3507;Nino;Freiler;78
4195;Tomislav;Watzl;63
13786;Stanley;Korab;4
10275;Irene;Prager;93
13964;Josef;Mavignier;10
6990;Cindy;Avramidis;1
14391;Richard;Zitko;45
5711;Francisco;Riepl;7
545;Jean-Michel;Mthethwa;72
1520;Louis;Zykan;26
13417;Sándor;Dessi;3
1851;Bruno;Kubota;81
7061;Ernst Wilhelm;Eddy;33
8578;Albert;Kopystiansky;38
861;Ferdinand;Kuitenbrouwer;60
12303;Jacques de la;Hoepffner;13
12733;Gary;Rühm;3
8143;Dieter;Shilinskij;93
9586;James;Fodor;54
10997;Rudolf;Spalletti;23
2621;Jessica;Fe Lugossy;11
14140;Silvia;Mayröcker;76
3726;Oliver;Broodthaers;41
526;Josef Matthias;Kaltenbach;19
1939;Mike;Pignon;51
2091;Hans;Tillmans;60
13275;Jaroslav;Moorman;13
13447;Ingeborg;Hilliard;78
12487;Otto M.;Celiberti;30
11560;Joseph E.;Bischof;60
10151;Johann;Fraser;93
6818;Zeljko;Egmeri;98
10171;Manfred;Muntean;92
10238;Lorenzo;Biedermann;2
2111;Maria Theresia;Vogelmayr;48
10981;Alessandro;Černiauskaitė;34
3257;Raffael;Schneemann;9
2389;Walter;Hein;0
5141;Paloma;Potrč;89
10390;Jürgen;Kanovitz;44
11128;Joseph;Macció;9
552;Lil;Hein;97
7107;Renate;Barrada;86
4784;Lucy;Fillitz;32
1665;Birgit;Turk;80
7679;Carter;Zülow;46
5148;János;Schlögl;14
6433;Marco;Leatherdale;33
5379;Herwig;Nitsch;4
6757;Josef;Hölzel;24
6523;Franz;Dokoupil;87
11154;Alfred;Kren;89
5931;Hans;Piacentino;71
4022;John;Malewitsch;89
13430;Lowell;Wewerka;19
2616;Norbert;McCarthy;73
4013;Peter;Pincemin;72
14192;Jakob;Marchand;57
12531;Henning;Hill;65
8182;Andreas;Arnold;75
14079;Barbara;Abramovic;31
1237;Franz;Yang;96
13841;Fritz;Colbertaldo;55
14470;Ellsworth;Devade;80
6920;Jean (Hans);Barry;26
1324;Ben;Fuchs;15
10216;Franz;Đukić;7
10549;Rudolf;Ebersbach;6
477;Julius;Gappmayr;23
5128;Gian Piero;Salachow;88
6812;Hartmut;Bouabdellah;72
9661;Franziska;Gormley;70
5351;Lucio;Luginbühl;76
239;Konrad;Le Gac;85
1632;Anna;Hopf;48
